Civic Issue,நகர பிரச்சினை
Municipal Ward,நகராட்சி வார்டு
Civic Contractor,நகர ஒப்பந்ததாரர்
Issue SLA,பிரச்சினை SLA
Contractor Penalty,ஒப்பந்ததாரர் அபராதம்
Report a Civic Issue,நகர பிரச்சினையை புகாரளிக்கவும்
Track Your Issue,உங்கள் புகாரைக் கண்காணிக்கவும்
City Issue Map,நகர பிரச்சினை வரைபடம்
Ward Leaderboard,வார்டு தரவரிசை
Issue Title,பிரச்சினை தலைப்பு
Tracking ID,கண்காணிப்பு எண்
Status,நிலை
Open,திறந்த
Assigned,ஒதுக்கப்பட்ட
In Progress,நடைபெறுகிறது
Resolved,தீர்க்கப்பட்டது
Closed,மூடப்பட்டது
Overdue,தாமதமானது
Reopened,மீண்டும் திறக்கப்பட்டது
Issue Type,பிரச்சினை வகை
Road,சாலை
Water,நீர்
Sanitation,சுகாதாரம்
Electricity,மின்சாரம்
Garbage,குப்பை
Drainage,வடிகால்
Street Light,தெரு விளக்கு
Other,மற்றவை
Priority,முன்னுரிமை
Low,குறைவு
Medium,நடுத்தர
High,உயர்
Critical,முக்கியமான
Ward,வார்டு
Contractor,ஒப்பந்ததாரர்
Description,விளக்கம்
Citizen Name,குடிமகன் பெயர்
Citizen Email,குடிமகன் மின்னஞ்சல்
Citizen Phone,குடிமகன் தொலைபேசி
Submit Issue Report,புகாரை சமர்ப்பிக்கவும்
Issue Reported Successfully!,புகார் வெற்றிகரமாக பதிவு செய்யப்பட்டது!
Your Tracking ID,உங்கள் கண்காணிப்பு எண்
Save this Tracking ID,இந்த கண்காணிப்பு எண்ணை சேமிக்கவும்
Report Another Issue,மற்றொரு புகாரை பதிவு செய்யவும்
Total Issues,மொத்த புகார்கள்
Resolution Rate,தீர்வு விகிதம்
Average Resolution Time,சராசரி தீர்வு நேரம்
Dashboard,கட்டுப்பாட்டு பலகை
SLA Compliance,SLA இணக்கம்
Penalty Amount,அபராத தொகை
Days Overdue,தாமத நாட்கள்
