Civic Issue,नागरिक समस्या
Municipal Ward,नगरपालिका वार्ड
Civic Contractor,नागरिक ठेकेदार
Issue SLA,समस्या SLA
Contractor Penalty,ठेकेदार जुर्माना
Report a Civic Issue,नागरिक समस्या की शिकायत करें
Track Your Issue,अपनी शिकायत ट्रैक करें
City Issue Map,शहर समस्या मानचित्र
Ward Leaderboard,वार्ड लीडरबोर्ड
Issue Title,समस्या शीर्षक
Tracking ID,ट्रैकिंग आईडी
Status,स्थिति
Open,खुला
Assigned,सौंपा गया
In Progress,प्रगति में
Resolved,हल किया गया
Closed,बंद
Overdue,समय सीमा पार
Reopened,फिर से खोला गया
Issue Type,समस्या प्रकार
Road,सड़क
Water,पानी
Sanitation,स्वच्छता
Electricity,बिजली
Garbage,कचरा
Drainage,नालियां
Street Light,सड़क बत्ती
Other,अन्य
Priority,प्राथमिकता
Low,कम
Medium,मध्यम
High,उच्च
Critical,गंभीर
Ward,वार्ड
Contractor,ठेकेदार
Description,विवरण
Citizen Name,नागरिक का नाम
Citizen Email,नागरिक ईमेल
Citizen Phone,नागरिक फोन
Submit Issue Report,शिकायत दर्ज करें
Issue Reported Successfully!,शिकायत सफलतापूर्वक दर्ज हुई!
Your Tracking ID,आपकी ट्रैकिंग आईडी
Save this Tracking ID,यह ट्रैकिंग आईडी सेव करें
Report Another Issue,एक और शिकायत दर्ज करें
Total Issues,कुल शिकायतें
Resolution Rate,समाधान दर
Average Resolution Time,औसत समाधान समय
Dashboard,डैशबोर्ड
SLA Compliance,SLA अनुपालन
Penalty Amount,जुर्माना राशि
Days Overdue,देरी के दिन
